Table 1: Frequency tabulation of OpenSafely population by age and category of place of residence at 1 January 2020
	Total	0	1	2	3	.u
Age Group
18-<50	  8712556 (53.1)	  8692755 (53.3)	    2,520 (4.7)	    1,211 (2.6)	       42 (1.8)	   16,028 (83.3)
50-<55	  1377522 (8.4)	  1375544 (8.4)	      658 (1.2)	      459 (1.0)	       21 (0.9)	      840 (4.4)
55-<60	  1328401 (8.1)	  1326158 (8.1)	      753 (1.4)	      776 (1.7)	       37 (1.5)	      677 (3.5)
60-<65	  1143758 (7.0)	  1141124 (7.0)	      936 (1.7)	    1,150 (2.5)	       56 (2.3)	      492 (2.6)
65-<70	  1027437 (6.3)	  1024013 (6.3)	    1,346 (2.5)	    1,688 (3.7)	       71 (3.0)	      319 (1.7)
70-<75	  1036127 (6.3)	  1029418 (6.3)	    2,929 (5.4)	    3,335 (7.3)	      178 (7.4)	      267 (1.4)
75-<80	  736,657 (4.5)	  726,346 (4.5)	    4,727 (8.7)	    5,154 (11.3)	      253 (10.6)	      177 (0.9)
80-<85	  534,832 (3.3)	  517,666 (3.2)	    8,620 (15.9)	    7,937 (17.3)	      440 (18.4)	      169 (0.9)
85-<90	  329,309 (2.0)	  305,456 (1.9)	   12,760 (23.6)	   10,366 (22.6)	      580 (24.2)	      147 (0.8)
90-<95	  146,970 (0.9)	  125,236 (0.8)	   12,169 (22.5)	    9,008 (19.7)	      461 (19.2)	       96 (0.5)
95+	   44,748 (0.3)	   33,033 (0.2)	    6,711 (12.4)	    4,718 (10.3)	      256 (10.7)	       30 (0.2)
missing	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)
